#Trained with dataset 70:10:10_unfiltered, batch size = 10, on my MacBook Pro

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.36124	2.36926	100	81.7036s	4.87764e-05	2023-02-23 08:35:20
2	2.31787	2.37555	100	85.9734s	4.52254e-05	2023-02-23 08:36:49
3	2.28901	2.43001	100	83.1902s	3.96946e-05	2023-02-23 08:38:14
4	2.268	2.41695	100	121.917s	3.27254e-05	2023-02-23 08:40:17
5	2.24458	2.41002	100	119.061s	2.5e-05	2023-02-23 08:42:17
6	2.26038	2.42732	100	148.011s	1.72746e-05	2023-02-23 08:44:47
7	2.24185	2.40537	100	103.727s	1.03054e-05	2023-02-23 08:46:32
8	2.26959	2.36419	100	119.602s	4.77458e-06	2023-02-23 08:48:33
9	2.25321	2.3475	100	104.491s	1.22359e-06	2023-02-23 08:50:19
10	2.24653	2.32171	100	137.831s	0	2023-02-23 08:52:38
11	2.2762	2.32891	100	87.5246s	1.22359e-06	2023-02-23 08:54:07
12	2.25395	2.31657	100	89.4738s	4.77458e-06	2023-02-23 08:55:37
13	2.267	2.30347	100	93.8438s	1.03054e-05	2023-02-23 08:57:13
14	2.24869	2.31255	100	87.0763s	1.72746e-05	2023-02-23 08:58:41
15	2.24376	2.3208	100	80.538s	2.5e-05	2023-02-23 09:00:03
16	2.17167	2.33113	100	86.3821s	3.27254e-05	2023-02-23 09:01:30
17	2.25851	2.38101	100	78.9511s	3.96946e-05	2023-02-23 09:02:50
18	2.26524	2.342	100	76.4767s	4.52254e-05	2023-02-23 09:04:08
19	2.2128	2.3412	100	79.8093s	4.87764e-05	2023-02-23 09:05:29
20	2.17846	2.36514	100	78.2591s	5e-05	2023-02-23 09:06:49
21	2.15095	2.3528	100	77.878s	4.87764e-05	2023-02-23 09:08:08
22	2.05067	2.42825	100	79.4931s	4.52254e-05	2023-02-23 09:09:28
23	2.21478	2.36078	100	79.2462s	3.96946e-05	2023-02-23 09:10:49
24	2.12514	2.26826	100	1990.92s	3.27254e-05	2023-02-23 09:44:01
