#Trained with dataset 70:10:10_unfiltered, batch size = 10

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.38726	2.33791	100	83.3974s	4.87764e-05	2023-02-26 23:57:38
2	2.33454	2.31417	100	86.6558s	4.52254e-05	2023-02-26 23:59:07
3	2.33208	2.31684	100	72.7971s	3.96946e-05	2023-02-27 00:00:21
4	2.29435	2.33179	100	73.6537s	3.27254e-05	2023-02-27 00:01:36
5	2.24812	2.3337	100	73.4341s	2.5e-05	2023-02-27 00:02:50
6	2.23716	2.33254	100	73.3206s	1.72746e-05	2023-02-27 00:04:04
7	2.29849	2.35654	100	77.6525s	1.03054e-05	2023-02-27 00:05:23
8	2.30369	2.37744	100	85.0135s	4.77458e-06	2023-02-27 00:06:49
9	2.28155	2.37171	100	72.5283s	1.22359e-06	2023-02-27 00:08:02
10	2.27396	2.38036	100	74.9385s	0	2023-02-27 00:09:18
11	2.27535	2.36763	100	97.4669s	1.22359e-06	2023-02-27 00:10:57
12	2.30107	2.35356	100	102.086s	4.77458e-06	2023-02-27 00:12:40
13	2.23741	2.36569	100	102.359s	1.03054e-05	2023-02-27 00:14:23
14	2.24292	2.3572	100	92.3928s	1.72746e-05	2023-02-27 00:15:56
15	2.28422	2.37463	100	79.4335s	2.5e-05	2023-02-27 00:17:17
16	2.27251	2.39333	100	92.9632s	3.27254e-05	2023-02-27 00:18:51
17	2.23485	2.40498	100	88.6448s	3.96946e-05	2023-02-27 00:20:20
18	2.25001	2.42686	100	87.0084s	4.52254e-05	2023-02-27 00:21:48
19	2.17302	2.42642	100	78.8631s	4.87764e-05	2023-02-27 00:23:08
20	2.25005	2.43087	100	90.9151s	5e-05	2023-02-27 00:24:40
21	2.27409	2.50141	100	89.5898s	4.87764e-05	2023-02-27 00:26:10
22	2.30288	2.57296	100	86.9823s	4.52254e-05	2023-02-27 00:27:38
23	2.17638	2.65696	100	84.5529s	3.96946e-05	2023-02-27 00:29:03
24	2.22748	2.62724	100	79.9569s	3.27254e-05	2023-02-27 00:30:24
25	2.24017	2.58614	100	82.4716s	2.5e-05	2023-02-27 00:31:48
26	2.25823	2.57629	100	83.0045s	1.72746e-05	2023-02-27 00:33:12
27	2.23445	2.55104	100	81.6782s	1.03054e-05	2023-02-27 00:34:34
28	2.18903	2.55922	100	80.4366s	4.77458e-06	2023-02-27 00:35:55
29	2.27815	2.5434	100	1897.43s	1.22359e-06	2023-02-27 01:07:34
30	2.23347	2.57086	100	78.8617s	0	2023-02-27 01:08:53
31	2.14879	2.61085	100	72.3741s	1.22359e-06	2023-02-27 01:10:07
32	2.22519	2.60353	100	71.6789s	4.77458e-06	2023-02-27 01:11:19
33	2.13616	2.5404	100	72.3885s	1.03054e-05	2023-02-27 01:12:33
34	2.19839	2.5339	100	71.4852s	1.72746e-05	2023-02-27 01:13:45
35	2.23763	2.59348	100	71.453s	2.5e-05	2023-02-27 01:14:58
36	2.20259	2.58615	100	74.8257s	3.27254e-05	2023-02-27 01:16:14
37	2.16321	2.63847	100	73.5582s	3.96946e-05	2023-02-27 01:17:28
38	2.12464	2.61563	100	71.2871s	4.52254e-05	2023-02-27 01:18:41
39	2.1872	2.60342	100	72.3545s	4.87764e-05	2023-02-27 01:19:54
40	2.17656	2.71425	100	75.7339s	5e-05	2023-02-27 01:21:10
41	2.04722	2.7246	100	74.8973s	4.87764e-05	2023-02-27 01:22:26
42	2.11709	2.77517	100	78.7789s	4.52254e-05	2023-02-27 01:23:46
43	2.07379	2.6745	100	80.2469s	3.96946e-05	2023-02-27 01:25:07
44	2.02261	2.66881	100	84.1552s	3.27254e-05	2023-02-27 01:26:32
45	1.97939	2.74454	100	79.179s	2.5e-05	2023-02-27 01:27:53
46	2.02909	2.73322	100	87.6815s	1.72746e-05	2023-02-27 01:29:21
47	1.93637	2.72059	100	93.9142s	1.03054e-05	2023-02-27 01:30:56
48	1.87875	2.7666	100	85.6662s	4.77458e-06	2023-02-27 01:32:23
49	1.83155	2.71253	100	74.6885s	1.22359e-06	2023-02-27 01:33:39
50	1.99813	2.75882	100	87.7039s	0	2023-02-27 01:35:08
51	1.93218	2.72454	100	96.8225s	1.22359e-06	2023-02-27 01:36:46
52	1.91428	2.77201	100	97.308s	4.77458e-06	2023-02-27 01:38:25
53	1.96274	2.78146	100	87.1936s	1.03054e-05	2023-02-27 01:39:53
54	2.01855	2.80326	100	81.6763s	1.72746e-05	2023-02-27 01:41:16
55	1.88318	2.79012	100	87.4501s	2.5e-05	2023-02-27 01:42:45
56	1.80103	2.953	100	79.8465s	3.27254e-05	2023-02-27 01:44:06
57	1.73548	3.00747	100	91.8706s	3.96946e-05	2023-02-27 01:45:39
58	1.7436	3.30435	100	85.1502s	4.52254e-05	2023-02-27 01:47:05
59	1.76476	3.62095	100	75.6333s	4.87764e-05	2023-02-27 01:48:22
60	1.89981	3.44253	100	72.3477s	5e-05	2023-02-27 01:49:35
61	1.77943	3.15472	100	77.596s	4.87764e-05	2023-02-27 01:50:54
62	1.68617	2.99847	100	96.3777s	4.52254e-05	2023-02-27 01:52:31
63	1.81408	2.95634	100	93.829s	3.96946e-05	2023-02-27 01:54:06
64	1.62893	3.30794	100	87.1603s	3.27254e-05	2023-02-27 01:55:35
65	1.4751	3.2314	100	81.4989s	2.5e-05	2023-02-27 01:56:57
66	1.62414	3.19448	100	83.8993s	1.72746e-05	2023-02-27 01:58:22
67	1.56151	3.31285	100	99.591s	1.03054e-05	2023-02-27 02:00:03
68	1.55805	3.31035	100	82.0053s	4.77458e-06	2023-02-27 02:01:26
69	1.47717	3.31532	100	80.4952s	1.22359e-06	2023-02-27 02:02:48
70	1.49765	3.21183	100	80.1981s	0	2023-02-27 02:04:09
71	1.66454	3.26989	100	85.1695s	1.22359e-06	2023-02-27 02:05:36
72	1.38916	3.27801	100	88.7394s	4.77458e-06	2023-02-27 02:07:05
73	1.58518	3.32911	100	97.8094s	1.03054e-05	2023-02-27 02:08:45
74	1.45663	3.23436	100	83.1585s	1.72746e-05	2023-02-27 02:10:09
75	1.51442	3.04732	100	86.9571s	2.5e-05	2023-02-27 02:11:37
76	1.57509	3.27233	100	96.6743s	3.27254e-05	2023-02-27 02:13:15
77	1.37048	3.37989	100	90.4249s	3.96946e-05	2023-02-27 02:14:47
78	1.39039	3.21627	100	97.5069s	4.52254e-05	2023-02-27 02:16:26
79	1.55895	3.02619	100	111.393s	4.87764e-05	2023-02-27 02:18:19
80	1.43619	2.83249	100	91.1195s	5e-05	2023-02-27 02:19:51
81	1.54294	2.93766	100	95.7372s	4.87764e-05	2023-02-27 02:21:28
82	1.64273	3.28654	100	85.5873s	4.52254e-05	2023-02-27 02:22:54
83	1.48471	3.40908	100	92.3003s	3.96946e-05	2023-02-27 02:24:28
84	1.33496	3.32584	100	88.4168s	3.27254e-05	2023-02-27 02:25:57
85	1.23923	3.36219	100	90.4168s	2.5e-05	2023-02-27 02:27:29
86	1.3566	3.18123	100	93.5878s	1.72746e-05	2023-02-27 02:29:03
87	1.20642	3.43322	100	87.4574s	1.03054e-05	2023-02-27 02:30:32
88	1.32833	3.42891	100	91.9527s	4.77458e-06	2023-02-27 02:32:05
89	1.18545	3.31046	100	85.5021s	1.22359e-06	2023-02-27 02:33:31
90	1.23965	3.21422	100	92.9935s	0	2023-02-27 02:35:05
91	1.1635	3.21993	100	83.7043s	1.22359e-06	2023-02-27 02:36:30
92	1.12073	3.1776	100	92.8594s	4.77458e-06	2023-02-27 02:38:04
93	1.20381	3.27624	100	89.0659s	1.03054e-05	2023-02-27 02:39:34
94	1.31703	3.17607	100	81.4659s	1.72746e-05	2023-02-27 02:40:57
95	1.27911	3.16452	100	87.9041s	2.5e-05	2023-02-27 02:42:26
96	1.14394	3.45072	100	83.668s	3.27254e-05	2023-02-27 02:43:50
97	1.13171	3.49992	100	88.4895s	3.96946e-05	2023-02-27 02:45:20
98	1.36875	3.38934	100	81.8171s	4.52254e-05	2023-02-27 02:46:43
99	1.29283	3.15008	100	74.7016s	4.87764e-05	2023-02-27 02:47:58
100	1.23799	2.90079	100	72.8751s	5e-05	2023-02-27 02:49:12
