# Trained with dataset 70:10:10_unfiltered, batch size = 7

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.02807	1.97527	100	77.5701s	4.87764e-05	2023-02-27 04:28:13
2	1.97009	1.97821	100	72.5744s	4.52254e-05	2023-02-27 04:29:28
3	1.98037	1.95572	100	76.9953s	3.96946e-05	2023-02-27 04:30:46
4	1.9161	1.96546	100	77.7261s	3.27254e-05	2023-02-27 04:32:05
5	1.94515	1.97234	100	80.1163s	2.5e-05	2023-02-27 04:33:26
6	1.92346	1.78156	100	91.2989s	1.72746e-05	2023-02-27 04:34:58
7	1.89367	1.88327	100	93.8021s	1.03054e-05	2023-02-27 04:36:33
8	1.94037	1.91808	100	80.9626s	4.77458e-06	2023-02-27 04:37:55
9	1.94914	1.72711	100	80.7862s	1.22359e-06	2023-02-27 04:39:16
10	1.91308	1.89742	100	88.3683s	0	2023-02-27 04:40:46
11	1.95585	1.75509	100	88.6974s	1.22359e-06	2023-02-27 04:42:15
12	1.93475	1.84283	100	89.5266s	4.77458e-06	2023-02-27 04:43:46
13	1.96402	1.82107	100	87.415s	1.03054e-05	2023-02-27 04:45:14
14	1.88498	1.91952	100	79.7381s	1.72746e-05	2023-02-27 04:46:35
15	1.92397	1.9711	100	76.6686s	2.5e-05	2023-02-27 04:47:53
16	1.90332	1.77441	100	78.6464s	3.27254e-05	2023-02-27 04:49:12
17	1.92701	1.94647	100	88.7699s	3.96946e-05	2023-02-27 04:50:42
18	1.84994	1.91679	100	90.0833s	4.52254e-05	2023-02-27 04:52:13
19	2.00539	2.12099	100	88.6041s	4.87764e-05	2023-02-27 04:53:43
20	1.92078	1.94231	100	82.8384s	5e-05	2023-02-27 04:55:07
21	1.85989	1.94726	100	98.947s	4.87764e-05	2023-02-27 04:56:47
22	1.86685	1.97363	100	96.1397s	4.52254e-05	2023-02-27 04:58:24
23	1.88306	2.10441	100	89.5779s	3.96946e-05	2023-02-27 04:59:54
24	1.88416	1.96971	100	102.239s	3.27254e-05	2023-02-27 05:01:38
25	1.86165	1.99636	100	114.616s	2.5e-05	2023-02-27 05:03:34
26	1.77601	1.98778	100	112.153s	1.72746e-05	2023-02-27 05:05:27
27	1.8058	1.94943	100	107.618s	1.03054e-05	2023-02-27 05:07:16
28	1.73922	1.83515	100	98.2382s	4.77458e-06	2023-02-27 05:08:55
29	1.79388	1.87188	100	110.295s	1.22359e-06	2023-02-27 05:10:47
30	1.7674	1.87605	100	92.1111s	0	2023-02-27 05:12:20
31	1.82146	2.0189	100	91.6913s	1.22359e-06	2023-02-27 05:13:53
32	1.78329	1.79071	100	92.6059s	4.77458e-06	2023-02-27 05:15:27
33	1.80861	1.97006	100	95.5326s	1.03054e-05	2023-02-27 05:17:04
34	1.77421	1.85078	100	106.02s	1.72746e-05	2023-02-27 05:18:51
