# Trained with dataset 70:10:10_filtered, batch size = 7 on my Macbook Pro

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.02658	2.01485	100	81.9939s	4.87764e-05	2023-03-10 05:10:49
2	1.95724	2.0413	100	75.849s	4.52254e-05	2023-03-10 05:12:06
3	1.94474	1.97774	100	73.2315s	3.96946e-05	2023-03-10 05:13:21
4	1.93281	1.97092	100	72.1388s	3.27254e-05	2023-03-10 05:14:34
5	1.91759	1.96847	100	73.9802s	2.5e-05	2023-03-10 05:15:49
6	1.86603	1.9172	100	74.6493s	1.72746e-05	2023-03-10 05:17:04
7	1.87009	1.90406	100	73.8519s	1.03054e-05	2023-03-10 05:18:19
8	1.90058	1.97482	100	73.8451s	4.77458e-06	2023-03-10 05:19:34
9	1.81153	1.88469	100	73.9482s	1.22359e-06	2023-03-10 05:20:48
10	1.85181	1.99153	100	70.3331s	0	2023-03-10 05:22:00
11	1.8788	1.96416	100	72.8305s	1.22359e-06	2023-03-10 05:23:13
12	1.8881	1.91263	100	72.9733s	4.77458e-06	2023-03-10 05:24:27
13	1.84241	1.94151	100	75.8384s	1.03054e-05	2023-03-10 05:25:44
14	1.91222	1.9138	100	76.0103s	1.72746e-05	2023-03-10 05:27:01
15	1.89332	1.89813	100	74.7707s	2.5e-05	2023-03-10 05:28:17
16	1.85292	1.91233	100	72.6058s	3.27254e-05	2023-03-10 05:29:30
17	1.91004	1.8513	100	1283.79s	3.96946e-05	2023-03-10 05:50:55
18	1.87368	1.91196	100	740.659s	4.52254e-05	2023-03-10 06:03:17
19	1.89945	1.92084	100	77.6241s	4.87764e-05	2023-03-10 06:04:35
20	1.74461	1.79389	100	75.4441s	5e-05	2023-03-10 06:05:52
21	1.86059	1.76696	100	75.2756s	4.87764e-05	2023-03-10 06:07:08
22	1.78453	1.98825	100	71.7964s	4.52254e-05	2023-03-10 06:08:21
23	1.80355	2.01684	100	70.3654s	3.96946e-05	2023-03-10 06:09:32
24	1.64607	1.9669	100	73.2432s	3.27254e-05	2023-03-10 06:10:46
25	1.64501	1.82162	100	75.0946s	2.5e-05	2023-03-10 06:12:02
26	1.77328	2.06514	100	73.7378s	1.72746e-05	2023-03-10 06:13:17
27	1.60138	2.06135	100	72.3156s	1.03054e-05	2023-03-10 06:14:30
28	1.6228	1.81701	100	73.676s	4.77458e-06	2023-03-10 06:15:45
29	1.59475	1.92996	100	71.8467s	1.22359e-06	2023-03-10 06:16:57
30	1.57387	1.90647	100	74.9666s	0	2023-03-10 06:18:13
31	1.67366	2.02822	100	73.8681s	1.22359e-06	2023-03-10 06:19:28
32	1.57856	1.90947	100	71.4242s	4.77458e-06	2023-03-10 06:20:41
33	1.49917	2.01877	100	73.5559s	1.03054e-05	2023-03-10 06:21:55
34	1.66549	1.90567	100	70.589s	1.72746e-05	2023-03-10 06:23:07
35	1.6373	1.96044	100	71.6168s	2.5e-05	2023-03-10 06:24:20
36	1.66781	1.9437	100	77.1846s	3.27254e-05	2023-03-10 06:25:38
37	1.65744	1.74549	100	73.3222s	3.96946e-05	2023-03-10 06:26:52
38	1.56299	1.65276	100	71.0555s	4.52254e-05	2023-03-10 06:28:04
39	1.51329	1.48927	100	70.4441s	4.87764e-05	2023-03-10 06:29:15
40	1.47663	1.47256	100	73.5712s	5e-05	2023-03-10 06:30:30
41	1.54157	1.69933	100	74.9669s	4.87764e-05	2023-03-10 06:31:46
42	1.43977	1.92963	100	74.6226s	4.52254e-05	2023-03-10 06:33:01
43	1.64151	1.96086	100	73.5591s	3.96946e-05	2023-03-10 06:34:16
44	1.49147	2.25861	100	71.428s	3.27254e-05	2023-03-10 06:35:29
45	1.39757	1.58486	100	72.9307s	2.5e-05	2023-03-10 06:36:43
46	1.43158	1.81458	100	73.2056s	1.72746e-05	2023-03-10 06:37:57
47	1.38344	1.87007	100	72.9879s	1.03054e-05	2023-03-10 06:39:11
48	1.33757	1.68754	100	73.9733s	4.77458e-06	2023-03-10 06:40:27
49	1.34528	1.64682	100	69.2971s	1.22359e-06	2023-03-10 06:41:37
50	1.13445	2.05532	100	81.4543s	0	2023-03-10 06:42:59
51	1.37149	2.12742	100	1908.49s	1.22359e-06	2023-03-10 07:14:50
52	1.48838	2.06739	100	2358.31s	4.77458e-06	2023-03-10 07:54:10
53	1.3527	2.07275	100	228.122s	1.03054e-05	2023-03-10 07:58:01
54	1.36476	1.92892	100	217.841s	1.72746e-05	2023-03-10 08:01:41
55	1.33925	1.63409	100	198.251s	2.5e-05	2023-03-10 08:05:01
56	1.37185	1.8016	100	342.297s	3.27254e-05	2023-03-10 08:10:45
57	1.41829	1.68808	100	1780.4s	3.96946e-05	2023-03-10 08:40:27
58	1.33653	1.75615	100	226.172s	4.52254e-05	2023-03-10 08:44:15
59	1.33373	2.36674	100	210.42s	4.87764e-05	2023-03-10 08:47:47
60	1.25286	1.69955	100	186.134s	5e-05	2023-03-10 08:50:55
61	1.26858	1.95902	100	191.033s	4.87764e-05	2023-03-10 08:54:08
62	1.38051	1.57055	100	1981.44s	4.52254e-05	2023-03-10 09:27:11
63	1.35204	1.94487	100	210.473s	3.96946e-05	2023-03-10 09:30:44
64	1.32079	2.05814	100	202.054s	3.27254e-05	2023-03-10 09:34:08
65	1.16765	1.84871	100	210.981s	2.5e-05	2023-03-10 09:37:41
66	1.181	1.64481	100	223.647s	1.72746e-05	2023-03-10 09:41:27
67	1.2561	1.8315	100	201.142s	1.03054e-05	2023-03-10 09:44:50
68	1.33756	2.11866	100	190.468s	4.77458e-06	2023-03-10 09:48:02
69	1.11766	1.76148	100	173.557s	1.22359e-06	2023-03-10 09:50:58
70	1.21864	1.90354	100	172.123s	0	2023-03-10 09:53:52
71	1.02862	2.08797	100	172.071s	1.22359e-06	2023-03-10 09:56:45
72	1.13546	1.81045	100	184.822s	4.77458e-06	2023-03-10 09:59:52
73	1.29405	2.1475	100	186.58s	1.03054e-05	2023-03-10 10:03:00
74	0.972363	2.20532	100	10958.9s	1.72746e-05	2023-03-10 13:05:40
75	1.05894	2.08485	100	196.969s	2.5e-05	2023-03-10 13:08:58
76	1.16396	1.88581	100	164.985s	3.27254e-05	2023-03-10 13:11:44
77	1.21859	1.70764	100	160.043s	3.96946e-05	2023-03-10 13:14:26
78	0.965405	2.185	100	166.712s	4.52254e-05	2023-03-10 13:17:14
79	1.25703	1.79369	100	7590.65s	4.87764e-05	2023-03-10 15:23:46
80	1.16607	2.06992	100	534.155s	5e-05	2023-03-10 15:32:42
81	1.15695	2.32489	100	151.045s	4.87764e-05	2023-03-10 15:35:15
82	1.27888	1.60302	100	166.22s	4.52254e-05	2023-03-10 15:38:02
83	1.28586	2.004	100	160.372s	3.96946e-05	2023-03-10 15:40:44
84	1.09595	1.89148	100	232.704s	3.27254e-05	2023-03-10 15:44:38
85	1.20004	1.63353	100	198.514s	2.5e-05	2023-03-10 15:47:58
86	1.03525	1.92059	100	206.801s	1.72746e-05	2023-03-10 15:51:27
87	0.932786	2.01228	100	164.138s	1.03054e-05	2023-03-10 15:54:13
88	0.983963	1.67502	100	148.996s	4.77458e-06	2023-03-10 15:56:43
89	1.16457	1.3357	100	141.123s	1.22359e-06	2023-03-10 15:59:05
90	0.866327	1.65743	100	139.045s	0	2023-03-10 16:01:26
91	1.00844	1.91922	100	145.678s	1.22359e-06	2023-03-10 16:03:52
92	1.18768	1.90132	100	127.023s	4.77458e-06	2023-03-10 16:06:01
93	1.10679	1.68457	100	164.542s	1.03054e-05	2023-03-10 16:08:46
94	1.02302	1.86091	100	140.791s	1.72746e-05	2023-03-10 16:11:08
95	1.11273	1.8998	100	136.11s	2.5e-05	2023-03-10 16:13:26
96	1.08072	1.76104	100	175.346s	3.27254e-05	2023-03-10 16:16:22
97	1.07446	2.09587	100	133.436s	3.96946e-05	2023-03-10 16:18:37
98	0.953483	2.38001	100	147.513s	4.52254e-05	2023-03-10 16:21:06
99	0.913784	1.95241	100	185.17s	4.87764e-05	2023-03-10 16:24:12
100	1.1344	2.29337	100	138.912s	5e-05	2023-03-10 16:26:33
