# Trained with the MTG-735 dataset, with batch size = 8, learning rate = 5e-04
training size = 632, validation size = 103

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.11153	2.07665	10.6796	492.663s	0.000487764	2023-03-13 22:29:06
2	2.07428	2.06436	15.534	440.465s	0.000452254	2023-03-13 22:36:29
3	2.06736	2.07325	8.73786	408.657s	0.000396946	2023-03-13 22:43:21
4	2.06426	2.06866	11.6505	408.069s	0.000327254	2023-03-13 22:50:10
5	2.02394	2.0601	16.5049	410.932s	0.00025	2023-03-13 22:57:03
6	1.9895	1.99898	16.5049	402.897s	0.000172746	2023-03-13 23:03:49
7	1.96954	1.99172	17.4757	408.504s	0.000103054	2023-03-13 23:10:39
8	1.95955	1.986	19.4175	2246.43s	4.77458e-05	2023-03-13 23:48:08
9	1.90965	1.95081	19.4175	369.689s	1.22359e-05	2023-03-13 23:54:21
10	1.91301	1.976	20.3883	371.76s	0	2023-03-14 00:00:34
11	1.9125	1.9848	19.4175	1438.8s	1.22359e-05	2023-03-14 00:24:36
12	1.90943	1.97983	19.4175	505.319s	4.77458e-05	2023-03-14 00:33:02
13	1.90293	1.99567	17.4757	457.794s	0.000103054	2023-03-14 00:40:42
14	1.91014	1.9757	20.3883	414.623s	0.000172746	2023-03-14 00:47:38
15	1.93363	1.95991	17.4757	382.604s	0.00025	2023-03-14 00:54:02
16	1.95431	2.07115	14.5631	346.694s	0.000327254	2023-03-14 00:59:51
17	1.93939	2.02635	18.4466	368.873s	0.000396946	2023-03-14 01:06:01
18	1.96026	1.99969	20.3883	369.981s	0.000452254	2023-03-14 01:12:13
19	1.9371	1.92467	22.3301	360.222s	0.000487764	2023-03-14 01:18:15
20	1.98483	1.92787	15.534	363.429s	0.0005	2023-03-14 01:24:21
21	1.97057	1.87922	17.4757	359.664s	0.000487764	2023-03-14 01:30:22
22	1.97067	1.98142	15.534	363.775s	0.000452254	2023-03-14 01:36:27
23	1.97751	1.99048	15.534	564.43s	0.000396946	2023-03-14 01:45:53
24	1.9108	2.05013	18.4466	374.184s	0.000327254	2023-03-14 01:52:09
25	1.92334	1.93011	25.2427	364.435s	0.00025	2023-03-14 01:58:15
26	1.88867	1.93652	22.3301	377.747s	0.000172746	2023-03-14 02:04:35
27	1.84	1.88465	26.2136	361.073s	0.000103054	2023-03-14 02:10:38
28	1.85749	1.90711	25.2427	370.074s	4.77458e-05	2023-03-14 02:16:51
29	1.87198	1.88875	22.3301	392.319s	1.22359e-05	2023-03-14 02:23:25
30	1.83283	1.85944	25.2427	2860.01s	0	2023-03-14 03:11:06
31	1.81298	1.92461	25.2427	453.465s	1.22359e-05	2023-03-14 03:18:41
32	1.86208	1.90876	26.2136	479.484s	4.77458e-05	2023-03-14 03:26:42
33	1.82274	1.90984	22.3301	442.205s	0.000103054	2023-03-14 03:34:06
34	1.84183	1.91956	25.2427	520.318s	0.000172746	2023-03-14 03:42:48
35	1.88219	1.92416	23.301	543.174s	0.00025	2023-03-14 03:51:53
36	1.85132	1.9093	26.2136	556.366s	0.000327254	2023-03-14 04:01:11
37	1.8954	1.89265	25.2427	516.282s	0.000396946	2023-03-14 04:09:50
38	1.88137	1.8748	24.2718	523.387s	0.000452254	2023-03-14 04:18:35
39	1.89593	2.03077	16.5049	476.609s	0.000487764	2023-03-14 04:26:33
40	1.92799	1.91266	14.5631	556.035s	0.0005	2023-03-14 04:35:51
41	1.91348	1.97148	22.3301	527.884s	0.000487764	2023-03-14 04:44:41
42	1.91338	1.90187	20.3883	580.837s	0.000452254	2023-03-14 04:54:24
43	1.88608	1.90708	14.5631	627.965s	0.000396946	2023-03-14 05:04:54
44	1.90962	1.90669	19.4175	434.497s	0.000327254	2023-03-14 05:12:10
45	1.8863	1.95418	16.5049	508.644s	0.00025	2023-03-14 05:20:41
46	1.83255	1.95274	25.2427	528.743s	0.000172746	2023-03-14 05:29:31
47	1.861	1.87865	23.301	649.721s	0.000103054	2023-03-14 05:40:23
48	1.82473	1.81622	22.3301	573.741s	4.77458e-05	2023-03-14 05:49:59
49	1.82838	1.84243	20.3883	602.102s	1.22359e-05	2023-03-14 06:00:04
50	1.80904	1.89062	24.2718	539.422s	0	2023-03-14 06:09:06
51	1.81412	1.81148	24.2718	444.476s	1.22359e-05	2023-03-14 06:16:33
52	1.77316	1.88858	23.301	3971.55s	4.77458e-05	2023-03-14 07:22:47
53	1.77996	1.86822	24.2718	870.615s	0.000103054	2023-03-14 07:37:21
54	1.82442	1.83051	25.2427	493.569s	0.000172746	2023-03-14 07:45:37
55	1.79681	1.89865	22.3301	545.668s	0.00025	2023-03-14 07:54:46
56	1.81796	2.06022	18.4466	624.131s	0.000327254	2023-03-14 08:05:12
57	1.86063	1.95338	19.4175	714.879s	0.000396946	2023-03-14 08:17:09
58	1.85894	1.96668	24.2718	590.58s	0.000452254	2023-03-14 08:27:02
59	1.84329	1.87685	19.4175	482.605s	0.000487764	2023-03-14 08:35:07
60	1.88099	1.90436	17.4757	425.292s	0.0005	2023-03-14 08:42:14
61	1.8809	1.92617	19.4175	419.914s	0.000487764	2023-03-14 08:49:16
62	1.8627	1.90961	19.4175	413.165s	0.000452254	2023-03-14 08:56:11
63	1.86982	1.9108	12.6214	403.515s	0.000396946	2023-03-14 09:02:57
64	1.83637	1.87949	27.1845	395.294s	0.000327254	2023-03-14 09:09:34
65	1.8134	1.92194	19.4175	388.429s	0.00025	2023-03-14 09:16:07
66	1.86714	1.90805	21.3592	4487.28s	0.000172746	2023-03-14 10:30:56
67	1.83248	1.91585	30.0971	2962.75s	0.000103054	2023-03-14 11:20:24
68	1.79014	1.95056	24.2718	5262.55s	4.77458e-05	2023-03-14 12:48:14
69	1.78386	1.95048	26.2136	2986.14s	1.22359e-05	2023-03-14 13:38:04
70	1.82286	1.91556	21.3592	1674.24s	0	2023-03-14 14:06:02
71	1.7929	1.8552	20.3883	372.955s	1.22359e-05	2023-03-14 14:12:18
72	1.76813	1.9292	21.3592	371.544s	4.77458e-05	2023-03-14 14:18:32
73	1.78745	1.91503	28.1553	376.992s	0.000103054	2023-03-14 14:24:51
74	1.79305	1.87136	22.3301	382.58s	0.000172746	2023-03-14 14:31:15
75	1.79632	1.79223	25.2427	383.413s	0.00025	2023-03-14 14:37:40
76	1.84253	1.85672	23.301	383.838s	0.000327254	2023-03-14 14:44:06
77	1.82055	1.87091	22.3301	1109.79s	0.000396946	2023-03-14 15:02:38
78	1.81592	1.86933	26.2136	615.671s	0.000452254	2023-03-14 15:12:56
79	1.81319	1.86606	30.0971	564.281s	0.000487764	2023-03-14 15:22:23
80	1.84264	1.89665	18.4466	723.319s	0.0005	2023-03-14 15:34:29
81	1.85186	1.99197	22.3301	797.188s	0.000487764	2023-03-14 15:47:51
82	1.84094	1.85162	17.4757	522.425s	0.000452254	2023-03-14 15:56:38
83	1.83209	1.87809	18.4466	520.66s	0.000396946	2023-03-14 16:05:23
84	1.8346	1.94092	20.3883	571.15s	0.000327254	2023-03-14 16:14:58
85	1.82848	1.86535	19.4175	563.151s	0.00025	2023-03-14 16:24:24
86	1.80312	1.92064	23.301	457.344s	0.000172746	2023-03-14 16:32:05
87	1.7671	1.95157	25.2427	486.677s	0.000103054	2023-03-14 16:40:14
88	1.7694	1.89457	22.3301	478.343s	4.77458e-05	2023-03-14 16:48:15
89	1.78023	1.87505	29.1262	472.559s	1.22359e-05	2023-03-14 16:56:11
90	1.75894	1.8674	25.2427	445.142s	0	2023-03-14 17:03:39
91	1.77902	1.85325	22.3301	723.947s	1.22359e-05	2023-03-14 17:15:46
92	1.7432	1.93757	23.301	658.392s	4.77458e-05	2023-03-14 17:26:49
93	1.7738	1.92517	21.3592	559.406s	0.000103054	2023-03-14 17:36:13
94	1.77768	1.92242	21.3592	556.665s	0.000172746	2023-03-14 17:45:35
95	1.77239	1.88319	18.4466	517.531s	0.00025	2023-03-14 17:54:17
96	1.79434	1.86335	25.2427	554.457s	0.000327254	2023-03-14 18:03:35
97	1.8038	1.88978	22.3301	560.977s	0.000396946	2023-03-14 18:13:00
98	1.79129	1.84609	24.2718	613.375s	0.000452254	2023-03-14 18:23:17
99	1.82692	1.81954	25.2427	521.021s	0.000487764	2023-03-14 18:32:04
100	1.84401	1.90931	23.301	581.496s	0.0005	2023-03-14 18:41:50
