Trained on MTG-735, using GPU

Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.12301	2.07856	12.6214	56.1579s	0.000487764	2023-03-24 18:00:58
2	2.07921	2.07938	9.70874	57.2681s	0.000452254	2023-03-24 18:01:57
3	2.07546	2.04032	12.6214	55.6327s	0.000396946	2023-03-24 18:02:54
4	2.04001	2.02636	11.6505	54.1237s	0.000327254	2023-03-24 18:03:50
5	1.99073	1.99194	20.3883	56.1458s	0.00025	2023-03-24 18:04:48
6	2.01517	1.98675	19.4175	56.776s	0.000172746	2023-03-24 18:05:48
7	1.9731	1.99824	17.4757	56.3546s	0.000103054	2023-03-24 18:06:47
8	1.94558	1.93606	21.3592	56.7983s	4.77458e-05	2023-03-24 18:07:45
9	1.91085	1.9053	20.3883	54.9425s	1.22359e-05	2023-03-24 18:08:44
10	1.92551	1.89207	18.4466	54.6398s	0	2023-03-24 18:09:40
11	1.89812	1.95697	23.301	54.8953s	1.22359e-05	2023-03-24 18:10:37
12	1.92156	1.93477	18.4466	54.5959s	4.77458e-05	2023-03-24 18:11:39
13	1.94385	1.94614	19.4175	56.2676s	0.000103054	2023-03-24 18:12:38
14	1.91233	2.00418	16.5049	54.6183s	0.000172746	2023-03-24 18:13:35
15	1.91864	1.91624	21.3592	54.9269s	0.00025	2023-03-24 18:14:31
16	1.91903	1.91328	21.3592	53.8808s	0.000327254	2023-03-24 18:15:27
17	1.96912	1.9747	23.301	53.8522s	0.000396946	2023-03-24 18:16:23
18	1.92713	2.01917	17.4757	56.4995s	0.000452254	2023-03-24 18:17:21
19	1.95928	1.94878	18.4466	55.1915s	0.000487764	2023-03-24 18:18:17
20	1.92933	1.97915	16.5049	52.7855s	0.0005	2023-03-24 18:19:12
21	1.97624	2.03979	19.4175	55.2745s	0.000487764	2023-03-24 18:20:09
22	1.97016	1.9817	16.5049	56.7932s	0.000452254	2023-03-24 18:21:08
23	1.93667	1.94397	17.4757	56.3488s	0.000396946	2023-03-24 18:22:06
24	1.93717	2.01344	10.6796	56.3437s	0.000327254	2023-03-24 18:23:04
25	1.91732	1.92489	18.4466	55.4893s	0.00025	2023-03-24 18:24:01
26	1.90324	1.94682	18.4466	56.3368s	0.000172746	2023-03-24 18:25:00
27	1.89388	1.86524	22.3301	54.2395s	0.000103054	2023-03-24 18:25:58
28	1.86386	1.89359	19.4175	55.1303s	4.77458e-05	2023-03-24 18:26:56
29	1.86064	1.91476	19.4175	55.5753s	1.22359e-05	2023-03-24 18:27:53
30	1.85167	1.84453	24.2718	52.1787s	0	2023-03-24 18:28:47
31	1.81969	1.93871	23.301	55.3751s	1.22359e-05	2023-03-24 18:29:46
32	1.86965	1.96762	19.4175	52.0398s	4.77458e-05	2023-03-24 18:30:40
33	1.86123	1.93175	19.4175	56.4021s	0.000103054	2023-03-24 18:31:38
34	1.86051	1.95031	21.3592	56.4227s	0.000172746	2023-03-24 18:32:36
35	1.86902	1.95769	16.5049	57.0819s	0.00025	2023-03-24 18:33:35
36	1.89605	1.95633	18.4466	56.0062s	0.000327254	2023-03-24 18:34:35
37	1.90891	1.99932	23.301	55.1488s	0.000396946	2023-03-24 18:35:32
38	1.91902	1.99814	18.4466	54.3427s	0.000452254	2023-03-24 18:36:28
39	1.96092	2.15517	18.4466	54.5885s	0.000487764	2023-03-24 18:37:25
40	1.992	1.96858	18.4466	54.5484s	0.0005	2023-03-24 18:38:21
41	1.93637	1.9079	20.3883	54.9719s	0.000487764	2023-03-24 18:39:18
42	1.97147	1.97211	17.4757	54.4835s	0.000452254	2023-03-24 18:40:14
43	1.91685	1.92054	14.5631	54.9155s	0.000396946	2023-03-24 18:41:11
44	1.90345	1.91846	15.534	53.4385s	0.000327254	2023-03-24 18:42:08
45	1.939	1.90895	24.2718	54.4562s	0.00025	2023-03-24 18:43:06
46	1.90721	1.86069	22.3301	54.3427s	0.000172746	2023-03-24 18:44:04
47	1.88426	1.87575	19.4175	53.9779s	0.000103054	2023-03-24 18:45:00
48	1.88605	1.89722	20.3883	51.9467s	4.77458e-05	2023-03-24 18:45:54
49	1.83969	1.94387	20.3883	55.6014s	1.22359e-05	2023-03-24 18:46:51
50	1.83167	1.84114	19.4175	54.2767s	0	2023-03-24 18:47:47
51	1.85398	1.85986	18.4466	55.125s	1.22359e-05	2023-03-24 18:48:44
52	1.83925	1.86562	20.3883	54.251s	4.77458e-05	2023-03-24 18:49:40
53	1.82856	1.85862	21.3592	53.2321s	0.000103054	2023-03-24 18:50:35
54	1.87183	1.87727	16.5049	54.8679s	0.000172746	2023-03-24 18:51:32
55	1.88367	1.90514	16.5049	54.2507s	0.00025	2023-03-24 18:52:28
56	1.89442	1.8614	19.4175	54.1191s	0.000327254	2023-03-24 18:53:24
57	1.87419	1.82609	18.4466	53.5493s	0.000396946	2023-03-24 18:54:19
58	1.8897	1.98186	19.4175	53.159s	0.000452254	2023-03-24 18:55:14
59	1.89339	1.87486	22.3301	50.2018s	0.000487764	2023-03-24 18:56:06
60	1.88919	1.91982	21.3592	52.6039s	0.0005	2023-03-24 18:57:00
61	1.88217	1.96888	15.534	54.227s	0.000487764	2023-03-24 18:57:56
62	1.89422	1.90071	20.3883	54.1364s	0.000452254	2023-03-24 18:58:52
63	1.88057	1.89857	21.3592	54.4744s	0.000396946	2023-03-24 18:59:48
64	1.8998	1.90737	19.4175	55.16s	0.000327254	2023-03-24 19:00:45
65	1.88493	1.90171	24.2718	55.1532s	0.00025	2023-03-24 19:01:42
66	1.85646	1.92778	21.3592	52.6242s	0.000172746	2023-03-24 19:02:37
67	1.86843	1.90507	23.301	53.1189s	0.000103054	2023-03-24 19:03:34
68	1.82432	1.87936	32.0388	55.5667s	4.77458e-05	2023-03-24 19:04:33
69	1.83415	1.83424	30.0971	58.5235s	1.22359e-05	2023-03-24 19:05:35
70	1.95194	1.9861	9.17874	109.304s	1.19364e-05	2023-03-31 01:18:41
71	1.94168	1.96627	9.66184	110.226s	1.10674e-05	2023-03-31 01:20:35
72	1.9376	1.96439	9.66184	105.033s	9.71397e-06	2023-03-31 01:22:24
73	1.85475	1.86055	27.1845	54.0813s	9.47625e-06	2023-03-31 02:55:55
74	1.8184	1.87215	26.2136	56.6888s	8.78637e-06	2023-03-31 02:56:56
75	1.80162	1.84653	26.2136	55.0346s	7.71185e-06	2023-03-31 02:57:53
76	1.79378	1.78723	25.2427	56.7724s	6.35787e-06	2023-03-31 02:58:51
77	1.80781	1.85213	26.2136	54.6492s	4.85698e-06	2023-03-31 02:59:47
78	1.80882	1.89825	27.1845	54.8619s	3.35609e-06	2023-03-31 03:00:44
79	1.82498	1.86652	29.1262	55.7662s	2.00212e-06	2023-03-31 03:01:42
80	1.81076	1.88274	29.1262	58.0163s	9.27601e-07	2023-03-31 03:02:43
81	1.77539	1.81483	28.1553	55.8422s	2.37718e-07	2023-03-31 03:03:41
82	1.805	1.84116	27.1845	55.5986s	0	2023-03-31 03:04:38
83	1.82229	1.80825	27.1845	55.1929s	1.22359e-05	2023-03-31 03:05:35
