Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	3.47348	3.46717	5.7971	91.5916s	4.87764e-06	2023-04-10 19:34:45
2	3.46234	3.46094	4.34783	88.1778s	4.52254e-06	2023-04-10 19:36:14
3	3.45508	3.45568	5.7971	90.616s	3.96946e-06	2023-04-10 19:37:47
4	3.45211	3.45435	7.24638	87.8285s	3.27254e-06	2023-04-10 19:39:16
5	3.43833	3.44776	4.83092	91.0807s	2.5e-06	2023-04-10 19:40:51
6	3.4331	3.44441	4.83092	92.5593s	1.72746e-06	2023-04-10 19:42:25
7	3.42847	3.43908	4.83092	92.3125s	1.03054e-06	2023-04-10 19:43:59
8	3.42164	3.44204	7.24638	88.3719s	4.77458e-07	2023-04-10 19:45:30
9	3.43308	3.44214	6.28019	91.7285s	1.22359e-07	2023-04-10 19:47:03
10	3.42517	3.43594	6.28019	88.3426s	0	2023-04-10 19:48:33
11	3.42534	3.43037	6.28019	89.0207s	1.22359e-07	2023-04-10 19:50:04
12	3.43086	3.44184	3.86473	87.2266s	4.77458e-07	2023-04-10 19:51:33
13	3.43448	3.44088	5.31401	86.4703s	1.03054e-06	2023-04-10 19:53:01
14	3.42479	3.43136	5.7971	88.2707s	1.72746e-06	2023-04-10 19:54:31
15	3.41813	3.43083	5.31401	88.6472s	2.5e-06	2023-04-10 19:56:02
16	3.40739	3.43176	5.31401	92.3935s	3.27254e-06	2023-04-10 19:57:36
17	3.42017	3.41599	6.28019	89.1504s	3.96946e-06	2023-04-10 19:59:07
18	3.40294	3.42717	8.21256	88.8574s	4.52254e-06	2023-04-10 20:00:37
19	3.40771	3.43364	6.76329	88.1042s	4.87764e-06	2023-04-10 20:02:09
20	3.39355	3.41262	9.17874	86.8048s	5e-06	2023-04-10 20:03:38
21	3.38627	3.41376	9.66184	90.5182s	4.87764e-06	2023-04-10 20:05:12
22	3.38304	3.39347	9.17874	89.8633s	4.52254e-06	2023-04-10 20:06:45
23	3.36591	3.40738	11.1111	88.492s	3.96946e-06	2023-04-10 20:08:15
24	3.37364	3.41991	6.76329	94.2032s	3.27254e-06	2023-04-10 20:09:56
25	3.3675	3.39233	9.66184	91.8792s	2.5e-06	2023-04-10 20:11:31
26	3.35823	3.40543	9.17874	87.17s	1.72746e-06	2023-04-10 20:12:59
27	3.35977	3.40704	9.17874	88.6136s	1.03054e-06	2023-04-10 20:14:30
28	3.35849	3.40802	7.24638	89.9068s	4.77458e-07	2023-04-10 20:16:02
